,refname,total,response_var,response_var_2,trophic_invader,trophic_invader_2,habitat_type,study_type,study_type_2,citations,dataset,response_fxnlgrp,response_fxnlgrp_2,response_fxnlgrp_3,Physicochemical,Critters,Phys.and.Critters,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,bythotrephes,trout,last_author_region,same_first_author,last_author_english,species,FWS_NOAA,USDA_EPA_conserv
182,vanbocxlaer2015,2824,Abundance,Abundance,Omnivore,Omnivore,Lake,Observational,Observational,4,new,Other,Other,Other,0,1,0,1,0,0,0,0,0,Hydrobiologia,General,2015,2.051,2015,Germany,0,0,0,0,0,0,Europe,vanbocxlaer,0,Other,0,0
183,vazquez-luis2008,3649,Multiple,AD,Primary-producer,Primary-producer,Estuary,Observational,Observational,53,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Marine Environmental Research,General,2008,2.032,2008,Spain,0,0,0,0,0,0,Europe,vazquez-luis,0,Other,0,0
184,vazquez-luis2009,4291,Multiple,AD,Primary-producer,Primary-producer,Estuary,Observational,Observational,37,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,"Estuarine, Coastal and Shelf Science",Ecosystem,2009,1.97,2009,Spain,0,0,0,0,0,0,Europe,vazquez-luis,0,Other,0,0
185,volta2013,5015,Physicochemical,Physicochemical,Predator,Predator,Lake,Observational,Observational,7,gallardo,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,1,1,0,1,Biological Invasions,Invasions,2013,2.716,2013,UK,0,0,0,0,0,0,Europe,volta,1,Other,1,1
186,waajen2016,6316,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Mesocosm,Mesocosm,2,new,Multiple,Phytoplankton,Phytoplankton,1,1,1,0,0,0,0,0,1,Ecological Engineering,General,2016,2.74,2015,Netherlands,0,1,0,0,0,0,Europe,waajen,0,Zebra mussel,0,1
187,wang2015,4308,Physicochemical,Physicochemical,Primary-producer,Primary-producer,Lake,Observational,Observational,6,new,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Plant Science,General,2015,1.49,2015,China,0,0,1,0,0,0,Asia,wang,0,Phragmites,0,0
188,wang2016a,5948,Physicochemical,Physicochemical,Primary-producer,Primary-producer,Lake,Observational,Observational,0,new,Nutrients-P,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Wetlands,Ecosystem,2016,1.504,2015,China,0,0,1,0,0,0,Asia,wang,0,Phragmites,0,0
189,webb2016,4126,Abundance,Abundance,Primary-producer,Primary-producer,Lake,Manipulative,Manipulative,0,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Journal of Aquatic Plant Management,Conservation,2016,0.257,2015,USA,0,0,0,0,0,0,North America,webb,1,Other,0,1
190,wernberg2004,3417,Abundance,Abundance,Primary-producer,Primary-producer,Estuary,Observational,Observational,55,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Helgoland Marine Research,Ecosystem,2004,0.861,2004,Denmark,0,0,0,0,0,0,Europe,wernberg,0,Other,0,0
191,wilson2009,4536,Multiple,AD,Primary-producer,Primary-producer,Lake,Observational,Observational,19,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Canadian Journal of Fisheries and Aquatic Sciences,General,2009,1.951,2009,Canada,0,0,0,0,0,0,North America,wilson,1,Other,0,0
192,winandy2015,4745,Abundance,Abundance,Predator,Predator,Lake,Manipulative,Manipulative,7,new,Other,Other,Other,0,1,0,1,0,0,0,0,0,Animal Behaviour,General,2016,3.169,2015,Belgium,0,0,0,0,0,0,Europe,winandy,0,Other,0,0
193,windham1999,4269,Abundance,Abundance,Primary-producer,Primary-producer,Estuary,Observational,Observational,207,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,1,0,0,0,Estuaries,Ecosystem,1999,1.331,1999,USA,0,0,1,0,0,0,North America,windham,1,Phragmites,1,0
194,winton2002,3245,Abundance,Abundance,Predator,Predator,Lake,Manipulative,Manipulative,17,gallardo,Macrophytes,Macrophytes and Phytoplankton,Multiple Critters,0,1,0,1,0,0,0,0,0,New Zealand Journal of Marine and Freshwater Research,Ecosystem,2002,0.628,2002,New Zealand,0,0,0,0,0,0,Australia and New Zealand,winton,1,Other,0,0
195,wittmann2012,3597,Multiple,AD,Filter-collector,Filter-collector,Lake,Manipulative,Manipulative,8,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2012,1.917,2012,USA,0,0,0,0,0,0,North America,wittmann,1,Other,0,1
196,yang2016,4449,Physicochemical,Physicochemical,Primary-producer,Primary-producer,Lake,Observational,Observational,3,new,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Ecological Engineering,General,2016,2.74,2015,China,0,0,0,1,0,0,Asia,yang,0,Spartina,0,0
197,yozzo2012,3434,Diversity,Diversity,Primary-producer,Primary-producer,River,Observational,Observational,7,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Esuaries and Coasts,Ecosystem,2012,2.56,2012,USA,0,0,1,0,0,0,North America,yozzo,1,Phragmites,0,1
198,yuan2016,5632,Multiple,AD,Primary-producer,Primary-producer,Lake,Observational,Observational,0,new,Other,Other,Other,0,1,0,1,0,0,0,0,0,Scientific reports,General,2016,5.228,2015,China,0,0,0,1,0,0,Asia,yuan,0,Spartina,0,0
199,zambrano1999,3745,Multiple,ADP,Omnivore,Omnivore,Lake,Observational,Observational,75,gallardo,Multiple,"Benthic Invertebrates, Fish, Macrophytes, Phytoplankton, and Zooplankton",Multiple Critters,1,1,1,1,0,0,0,0,0,Journal of Aquatic Ecosystem Stress and Recovery,Conservation,1999,0.44,2001,Mexico,1,0,0,0,0,0,Central and South America,zambrano,0,Carp,0,0
200,zhu2006,4594,Multiple,AP,Filter-collector,Filter-collector,Lake,Observational,Observational,148,gallardo,Multiple,Macrophytes,Macrophytes,1,1,1,0,0,1,0,0,0,Ecosystems,General,2006,2.955,2006,USA,0,1,0,0,0,0,North America,zhu,1,Zebra mussel,1,0
201,zhu2007,3228,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Observational,Observational,9,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,1,0,0,0,Journal of Aquatic Plant Management,Conservation,2007,0.659,2007,USA,0,1,0,0,0,0,North America,zhu,1,Zebra mussel,1,0
202,zhu2015,3922,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Manipulative,Manipulative,0,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Freshwater Science,Ecosystem,2015,2.443,2015,USA,0,0,0,0,0,0,North America,zhu,1,Other,0,1
