newobsnum,bywhom?,refnum,refname,invasive_species,trophic_invader,response_var,response_var_details,response_var_units,response_fxnlgrp,habitat_type,study_type,es_num,es_num2,pres_x,pres_n,pres_err,abs_x,abs_n,abs_err,error_type,control_type,abs_conditions,data_source,notes,include,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding Sources,Funding notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english
166,Kali,180,Liang2016,Spartina alterniflora,Primary-producer,Abundance,percent colonization,%,Other,Estuary,Observational,1038,1034,9.26,24,0.472,31.75,24,5.74,SEM,uninvaded,invader naturally non-present,Fig2a,Other = mycorrhizae colonizing native grass; SB3,0,1,1,0,0,0,0,0,"(1) Natural Science Foundation (China) (40771203, 40871243, 41101230), (2) Program for Innovative Research Team in University (China) (IRT13078)",,Aquatic Botany,Ecosystem,2016,1.846,2015,China,0,0,0,1,Asia,liang,0
167,Kali,180,Liang2016,Spartina alterniflora,Primary-producer,Abundance,spore density,spores/100 g dry soil,Other,Estuary,Observational,1038,1034,100.45,24,41.03,932.31,24,11.83,SEM,uninvaded,invader naturally non-present,Fig2b,Other = mycorrhizae colonizing native grass; SB3,1,1,1,0,0,0,0,0,"(1) Natural Science Foundation (China) (40771203, 40871243, 41101230), (2) Program for Innovative Research Team in University (China) (IRT13078)",,Aquatic Botany,Ecosystem,2016,1.846,2015,China,0,0,0,1,Asia,liang,0
52,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Abundance,native biomass,g m-2,Macrophytes,Lake,Mesocosm,1039,1035,485.2,10,19.5,541.3,10,98.7,SEM,native species,"mesocosm planted with no invasive sp, under high water condition",Table 3,"Obs. for 2005, HIGH water",0,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
55,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Abundance,native biomass,g m-2,Macrophytes,Lake,Mesocosm,1039,1035,238.7,10,44.8,495.1,10,76,SEM,native species,"mesocosm planted with no invasive sp, under high water condition",Table 3,"Obs. for 2009, HIGH water",1,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
58,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Abundance,native biomass,g m-2,Macrophytes,Lake,Mesocosm,1039,1035,488.5,10,60,460.7,10,31.1,SEM,native species,"mesocosm planted with no invasive sp, under low water condition",Table 3,"Obs. for 2005, LOW water",0,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
61,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Abundance,native biomass,g m-2,Macrophytes,Lake,Mesocosm,1039,1035,257.1,10,41.2,499.1,10,83.8,SEM,native species,"mesocosm planted with no invasive sp, under low water condition",Table 3,"Obs. for 2009, LOW water",1,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
53,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,NH4+,ug N/g dry soil,Nutrients-N,Lake,Mesocosm,1040,1036,3.22,10,0.52,0.63,10,0.07,SEM,native species,"mesocosm planted with no invasive sp, under high water condition",Table 3,"Obs. for 2005, HIGH water",0,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
56,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,NH4+,ug N/g dry soil,Nutrients-N,Lake,Mesocosm,1040,1036,1.42,10,0.25,1.04,10,0.12,SEM,native species,"mesocosm planted with no invasive sp, under high water condition",Table 3,"Obs. for 2009, HIGH water",1,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
59,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,NH4+,ug N/g dry soil,Nutrients-N,Lake,Mesocosm,1040,1036,3.78,10,0.89,0.56,10,0.08,SEM,native species,"mesocosm planted with no invasive sp, under low water condition",Table 3,"Obs. for 2005, LOW water",0,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
62,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,NH4+,ug N/g dry soil,Nutrients-N,Lake,Mesocosm,1040,1036,1.1,10,0.25,0.7,10,0.07,SEM,native species,"mesocosm planted with no invasive sp, under low water condition",Table 3,"Obs. for 2009, LOW water",1,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
54,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,OM,% of dry mass,OM,Lake,Mesocosm,1041,1036,3.04,10,0.61,3.2,10,0.48,SEM,native species,"mesocosm planted with no invasive sp, under high water condition",Table 3,"Obs. for 2005, HIGH water",0,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
57,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,OM,% of dry mass,OM,Lake,Mesocosm,1041,1036,5.07,10,0.61,3.77,10,0.41,SEM,native species,"mesocosm planted with no invasive sp, under high water condition",Table 3,"Obs. for 2009, HIGH water",1,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
60,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,OM,% of dry mass,OM,Lake,Mesocosm,1041,1036,2.98,10,0.48,2.5,10,0.16,SEM,native species,"mesocosm planted with no invasive sp, under low water condition",Table 3,"Obs. for 2005, LOW water",0,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
63,Kali,181,Lishawa2014,Typha x glauca,Primary-producer,Physiochemistry,OM,% of dry mass,OM,Lake,Mesocosm,1041,1036,5.61,10,0.27,6.04,10,2.04,SEM,native species,"mesocosm planted with no invasive sp, under low water condition",Table 3,"Obs. for 2009, LOW water",1,7,1,0,0,0,0,0,"(1) NSF DGE0343372, (2) NSF REU 0851421, (3) Loyola University Chicago",,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,North America,lishawa,1
76,Kali,182,Lishawa2015,Typha x glauca,Primary-producer,Diversity,richness,# species m-2,Macrophytes,Lake,Manipulative,1042,1037,7,8,0.63,13,8,1.22,SEM,low invader abundance,"after eradication, as per Gallardo (although trt design also employed control plots)",in text (also Fig1b),Obs. for 2012 (1 yr post-removal),0,6,0,0,0,1,0,1,US Environmental Protection Agency Great Lakes Restoration Initiative (GL-00E00545),,Restoration Ecology,Conservation,2015,1.891,2015,USA,0,0,0,0,North America,lishawa,1
77,Kali,182,Lishawa2015,Typha x glauca,Primary-producer,Diversity,richness,# species m-2,Macrophytes,Lake,Manipulative,1042,1037,7,8,0.63,14.13,8,0.9,SEM,low invader abundance,"after eradication, as per Gallardo (although trt design also employed control plots)",in text (also Fig1b),Obs. for 2013 (2 yr post-removal),1,6,0,0,0,1,0,1,US Environmental Protection Agency Great Lakes Restoration Initiative (GL-00E00545),,Restoration Ecology,Conservation,2015,1.891,2015,USA,0,0,0,0,North America,lishawa,1
74,Kali,182,Lishawa2015,Typha x glauca,Primary-producer,Diversity,Shannon's index,index,Macrophytes,Lake,Manipulative,1042,1037,0.49,8,0.16,1.78,8,0.16,SEM,low invader abundance,"after eradication, as per Gallardo (although trt design also employed control plots)",Fig1a,"Obs. for 2012 (1 yr post-removal); Lishawa 2015: 2 removal trts were compared, reporting here the trt that was most effective at removing Typha (digging up belowground rhizomes)",0,6,0,0,0,1,0,1,US Environmental Protection Agency Great Lakes Restoration Initiative (GL-00E00545),,Restoration Ecology,Conservation,2015,1.891,2015,USA,0,0,0,0,North America,lishawa,1
75,Kali,182,Lishawa2015,Typha x glauca,Primary-producer,Diversity,Shannon's index,index,Macrophytes,Lake,Manipulative,1042,1037,0.517,8,0.0754,1.81,8,0.0767,SEM,low invader abundance,"after eradication, as per Gallardo (although trt design also employed control plots)",Fig1a,Obs. for 2013 (2 yr post-removal),1,6,0,0,0,1,0,1,US Environmental Protection Agency Great Lakes Restoration Initiative (GL-00E00545),,Restoration Ecology,Conservation,2015,1.891,2015,USA,0,0,0,0,North America,lishawa,1
78,Kaitlin,183,ercoli2015a,Pacifastacus leniusculus,Omnivore,Abundance,Abundance of all invertebrates,# invertebrates,Benthic Invertebrates,Lake,Observational,1043,1038,119,8,51,158,8,93,sd,uninvaded,invader naturally non-present,Fig 2a,"2015a is invertebrates of epifauna category and 2015b infauna; control = control lakes lakes, treatment = signal crayfish lakes",1,5,0,0,0,0,0,0,the Maj and Tor Nessling Foundation; the Finnish Cultural Foundation.,,Freshwater Science,Ecosystem,2015,2.433,2015,Finland,0,0,0,0,Europe,ercoli,0
79,Kaitlin,183,ercoli2015a,Pacifastacus leniusculus,Omnivore,Diversity,taxon richness of all invertebrates,total # of invertebrate taxa per lake,Benthic Invertebrates,Lake,Observational,1044,1039,21,8,4,27,8,7,sd,uninvaded,invader naturally non-present,Fig 2b,"2015a is invertebrates of epifauna category and 2015b infauna; control = control lakes lakes, treatment = signal crayfish lakes",1,5,0,0,0,0,0,0,the Maj and Tor Nessling Foundation; the Finnish Cultural Foundation.,,Freshwater Science,Ecosystem,2015,2.433,2015,Finland,0,0,0,0,Europe,ercoli,0
80,Kaitlin,183,ercoli2015a,Pacifastacus leniusculus,Omnivore,Diversity,Shannon Diversity of all invertebrates,shannon diversity of invertebrate species,Benthic Invertebrates,Lake,Observational,1044,1039,1.2381,8,0.2475,1.9357,8,0.395,sd,uninvaded,invader naturally non-present,Fig 2c,"2015a is invertebrates of epifauna category and 2015b infauna; control = control lakes lakes, treatment = signal crayfish lakes",1,5,0,0,0,0,0,0,the Maj and Tor Nessling Foundation; the Finnish Cultural Foundation.,,Freshwater Science,Ecosystem,2015,2.433,2015,Finland,0,0,0,0,Europe,ercoli,0
81,Kaitlin,184,ercoli2015b,Pacifastacus leniusculus,Omnivore,Abundance,density of macroinvertebrates,macroinvertebrate density,Benthic Invertebrates,Lake,Observational,1045,1040,200,8,151,440,8,246,sd,uninvaded,invader naturally non-present,Fig 2a,"2015a is invertebrates of epifauna category and 2015b infauna; control = control lakes lakes, treatment = signal crayfish lakes",1,2,0,0,0,0,0,0,the Maj and Tor Nessling Foundation; the Finnish Cultural Foundation.,,Freshwater Biology,Ecosystem,2015,2.933,2015,Finland,0,0,0,0,Europe,ercoli,0
84,Kaitlin,184,ercoli2015b,Pacifastacus leniusculus,Omnivore,Abundance,biomass of invertebrates,macroinvertebrate biomass,Benthic Invertebrates,Lake,Observational,1045,1040,0.5939,8,0.5231,0.5585,8,0.33,sd,uninvaded,invader naturally non-present,Fig 2d,"2015a is invertebrates of epifauna category and 2015b infauna; control = control lakes lakes, treatment = signal crayfish lakes",1,2,0,0,0,0,0,0,the Maj and Tor Nessling Foundation; the Finnish Cultural Foundation.,,Freshwater Biology,Ecosystem,2015,2.933,2015,Finland,0,0,0,0,Europe,ercoli,0
82,Kaitlin,184,ercoli2015b,Pacifastacus leniusculus,Omnivore,Diversity,richness of invertebrate species,taxon richness,Benthic Invertebrates,Lake,Observational,1046,1041,4,8,2,11,8,3.24,sd,uninvaded,invader naturally non-present,Fig 2b,"2015a is invertebrates of epifauna category and 2015b infauna; control = control lakes lakes, treatment = signal crayfish lakes",1,2,0,0,0,0,0,0,the Maj and Tor Nessling Foundation; the Finnish Cultural Foundation.,,Freshwater Biology,Ecosystem,2015,2.933,2015,Finland,0,0,0,0,Europe,ercoli,0
83,Kaitlin,184,ercoli2015b,Pacifastacus leniusculus,Omnivore,Diversity,shannon diversity of invertebrates,shannon diversity of invertebrate species,Benthic Invertebrates,Lake,Observational,1046,1041,1.1813,8,0.3415,1.8995,8,0.2705,sd,uninvaded,invader naturally non-present,Fig 2c,"2015a is invertebrates of epifauna category and 2015b infauna; control = control lakes lakes, treatment = signal crayfish lakes",1,2,0,0,0,0,0,0,the Maj and Tor Nessling Foundation; the Finnish Cultural Foundation.,,Freshwater Biology,Ecosystem,2015,2.933,2015,Finland,0,0,0,0,Europe,ercoli,0
86,Kaitlin,185,ferrareze2015,Cichla kelberi,Predator,Abundance,abundance,individuals/37.4 m2,Fish,River,Observational,1047,1042,97.27,5,28.57,138.75,5,30.61,sd,before-after invasion,before invasion,Fig 3,control is sampling before 2004; treatment is 2005 (highest density invasive),1,0,1,0,0,0,0,0,CNPq; Duke Energy International Geração Paranapanema; Fundação do Instituto de Biociências,,Brazilian Journal of Biology,General,2015,0.559,2015,Brazil,0,0,0,0,Central and South America,ferrareze,0
87,Kaitlin,185,ferrareze2015,Cichla kelberi,Predator,Abundance,biomass,g/37.5m2,Fish,River,Observational,1047,1042,60.11,5,15.15,70.23,5,14.32,sd,before-after invasion,before invasion,Fig 4,control is sampling before 2004; treatment is 2005 (highest density invasive),1,0,1,0,0,0,0,0,CNPq; Duke Energy International Geração Paranapanema; Fundação do Instituto de Biociências,,Brazilian Journal of Biology,General,2015,0.559,2015,Brazil,0,0,0,0,Central and South America,ferrareze,0
85,Kaitlin,185,ferrareze2015,Cichla kelberi,Predator,Diversity,species richness,richness,Fish,River,Observational,1048,1043,9.96,5,2.92,10.29,5,1.57,sd,before-after invasion,before invasion,Fig 2,control is sampling before 2004; treatment is 2005 (highest density invasive),1,0,1,0,0,0,0,0,CNPq; Duke Energy International Geração Paranapanema; Fundação do Instituto de Biociências,,Brazilian Journal of Biology,General,2015,0.559,2015,Brazil,0,0,0,0,Central and South America,ferrareze,0
88,Kaitlin,185,ferrareze2015,Cichla kelberi,Predator,Diversity,shannon diversity,shannon index,Fish,River,Observational,1048,1043,2.2,5,0.84,2.04,5,0.63,sd,before-after invasion,before invasion,Fig 6,control is sampling before 2004; treatment is 2005 (highest density invasive),1,0,1,0,0,0,0,0,CNPq; Duke Energy International Geração Paranapanema; Fundação do Instituto de Biociências,,Brazilian Journal of Biology,General,2015,0.559,2015,Brazil,0,0,0,0,Central and South America,ferrareze,0
215,Kaitlin,186,gagnonlupien2015,Phragmites australis,Primary-producer,Abundance,count data,n individuals/per hectare,Other,Estuary,Observational,1049,1044,2.9,5,2.3,1.6,3,1.8,SEM,uninvaded,invader naturally absent,Fig 4a,used most recent sampling: 2010 sampling period 5,1,4,1,1,0,0,0,0,the Natural Sciences and Engineering Research Council of Canada; the Fonds de recherche du Québec – Nature et technologie; the Canadian Wildlife Service and Ducks Unlimited Canada,,Animal Conservation,Conservation,2015,2.788,2015,Canada,0,0,1,0,North America,gagnonlupien,1
232,Kaitlin,186,gagnonlupien2015,Phragmites australis,Primary-producer,Abundance,abundance,n individuals/per hectare,Other,Estuary,Observational,1049,1044,7.7406,5,1.4707,12.321,3,3.2061,SEM,uninvaded,invader naturally absent,Fig 3a,songbirds; used most recent sampling: 2010 sampling period 5; used Cattail stands as control,1,4,1,1,0,0,0,0,the Natural Sciences and Engineering Research Council of Canada; the Fonds de recherche du Québec – Nature et technologie; the Canadian Wildlife Service and Ducks Unlimited Canada,,Animal Conservation,Conservation,2015,2.788,2015,Canada,0,0,1,0,North America,gagnonlupien,1
233,Kaitlin,186,gagnonlupien2015,Phragmites australis,Primary-producer,Abundance,richness,n species,Other,Estuary,Observational,1049,1044,4.3361,5,0.706,3.9831,3,0.661,SEM,uninvaded,invader naturally absent,Fig 3b,songbirds; used most recent sampling: 2010 sampling period 5; used Cattail stands as control,1,4,1,1,0,0,0,0,the Natural Sciences and Engineering Research Council of Canada; the Fonds de recherche du Québec – Nature et technologie; the Canadian Wildlife Service and Ducks Unlimited Canada,,Animal Conservation,Conservation,2015,2.788,2015,Canada,0,0,1,0,North America,gagnonlupien,1
216,Kaitlin,186,gagnonlupien2015,Phragmites australis,Primary-producer,Diversity,richness,n species,Other,Estuary,Observational,1050,1045,9.5,5,3.7,8.6,3,0.7,SEM,uninvaded,invader naturally absent,Fig 4d,used most recent sampling: 2010 sampling period 6,1,4,1,1,0,0,0,0,the Natural Sciences and Engineering Research Council of Canada; the Fonds de recherche du Québec – Nature et technologie; the Canadian Wildlife Service and Ducks Unlimited Canada,,Animal Conservation,Conservation,2015,2.788,2015,Canada,0,0,1,0,North America,gagnonlupien,1
217,Kaitlin,186,gagnonlupien2015,Phragmites australis,Primary-producer,Diversity,shannon index,shannon index,Other,Estuary,Observational,1050,1045,8.3,5,1.5,8.7,3,0.4,SEM,uninvaded,invader naturally absent,Fig 4e,used most recent sampling: 2010 sampling period 7,1,4,1,1,0,0,0,0,the Natural Sciences and Engineering Research Council of Canada; the Fonds de recherche du Québec – Nature et technologie; the Canadian Wildlife Service and Ducks Unlimited Canada,,Animal Conservation,Conservation,2015,2.788,2015,Canada,0,0,1,0,North America,gagnonlupien,1
234,Kaitlin,186,gagnonlupien2015,Phragmites australis,Primary-producer,Diversity,shannon index,shannon index,Other,Estuary,Observational,1050,1045,1.1703,5,0.1625,1.2006,3,0.1245,SEM,uninvaded,invader naturally absent,Fig 3c,songbirds; used most recent sampling: 2010 sampling period 5; used Cattail stands as control,1,4,1,1,0,0,0,0,the Natural Sciences and Engineering Research Council of Canada; the Fonds de recherche du Québec – Nature et technologie; the Canadian Wildlife Service and Ducks Unlimited Canada,,Animal Conservation,Conservation,2015,2.788,2015,Canada,0,0,1,0,North America,gagnonlupien,1
89,Kaitlin,187,ge2015,Spartina alterniflora,Primary-producer,Abundance,density of native C. cingulata,ind/m2,Benthic Invertebrates,Estuary,Observational,1051,1046,7.303,5,1.477,14.771,5,2.629,SEM,uninvaded,invader naturally non-present,Fig 2 Spring,"control = 1, No invasion; treatment = 4, Invasion completed",1,0,1,0,0,0,0,0,"the NSF china (31301871, 31300443); NSF Jiangsu Province (BK20130422); NSF of Jiangsu Higher Education Institutions of China (I2KJB180016, 12KJA180009); Opening Foundation of Jiangsu Key Laboratory for Bioresources of saline soils (JKLBS2012026)",,Pakistan Journal of Zoology,General,2015,0.478,2015,China,0,0,0,1,Asia,ge,0
90,Kaitlin,187,ge2015,Spartina alterniflora,Primary-producer,Abundance,density of native C. cingulata,ind/m2,Benthic Invertebrates,Estuary,Observational,1051,1046,5.738,5,1.3774,17.014,5,2.5897,SEM,uninvaded,invader naturally non-present,Fig 2 Summer,"control = 1, No invasion; treatment = 4, Invasion completed",1,0,1,0,0,0,0,0,"the NSF china (31301871, 31300443); NSF Jiangsu Province (BK20130422); NSF of Jiangsu Higher Education Institutions of China (I2KJB180016, 12KJA180009); Opening Foundation of Jiangsu Key Laboratory for Bioresources of saline soils (JKLBS2012026)",,Pakistan Journal of Zoology,General,2015,0.478,2015,China,0,0,0,1,Asia,ge,0
91,Kaitlin,187,ge2015,Spartina alterniflora,Primary-producer,Abundance,density of native C. cingulata,ind/m2,Benthic Invertebrates,Estuary,Observational,1051,1046,6.79,5,1.14,15.57,5,2.3298,SEM,uninvaded,invader naturally non-present,Fig 2 Autumn,"control = 1, No invasion; treatment = 4, Invasion completed",1,0,1,0,0,0,0,0,"the NSF china (31301871, 31300443); NSF Jiangsu Province (BK20130422); NSF of Jiangsu Higher Education Institutions of China (I2KJB180016, 12KJA180009); Opening Foundation of Jiangsu Key Laboratory for Bioresources of saline soils (JKLBS2012026)",,Pakistan Journal of Zoology,General,2015,0.478,2015,China,0,0,0,1,Asia,ge,0
92,Kaitlin,187,ge2015,Spartina alterniflora,Primary-producer,Abundance,density of native C. cingulata,ind/m2,Benthic Invertebrates,Estuary,Observational,1051,1046,5.79,5,0.92,11.5441,5,1.8323,SEM,uninvaded,invader naturally non-present,Fig 2 Winter,"control = 1, No invasion; treatment = 4, Invasion completed",1,0,1,0,0,0,0,0,"the NSF china (31301871, 31300443); NSF Jiangsu Province (BK20130422); NSF of Jiangsu Higher Education Institutions of China (I2KJB180016, 12KJA180009); Opening Foundation of Jiangsu Key Laboratory for Bioresources of saline soils (JKLBS2012026)",,Pakistan Journal of Zoology,General,2015,0.478,2015,China,0,0,0,1,Asia,ge,0
93,Kaitlin,188,gu2015,Oreochromis niloticus,Omnivore,Growth/Performance,growth of native mud carp,g/g,Fish,Lake,Manipulative,1052,1047,5.19,4,0.209,6.35,4,0.23,SEM,uninvaded,manipulatively removed,Fig 3,"lake experiment; control = No invasive, treatment = 2/3 Nile Tilapia",0,NA,0,0,0,0,0,0,,,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
94,Kaitlin,188,gu2015,Oreochromis niloticus,Omnivore,Growth/Performance,growth of native mud carp,g/g,Fish,Lake,Manipulative,1052,1047,-1.0995,4,1,2.79,4,1.27,SEM,uninvaded,manipulatively removed,Fig 4,"green house experiment;control = No invasive, treatment = 2/3 Nile Tilapia",0,NA,0,0,0,0,0,0,,,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
95,Kaitlin,189,guillerault2015,Silurus glanis,Predator,Abundance,fish biomass of native,kg 100 m-2,Fish,River,Observational,1053,1048,1365,9,768,1200,24,802,sd,before-after invasion,before invasion,Table 2a; total,control = No S. glanis; treatment = >10 years since S. glanis arrival,1,1,0,0,0,0,0,0,,none stated,Freshwater Biology,Ecosystem,2015,2.933,2015,France,0,0,0,0,Europe,guillerault,0
96,Kaitlin,189,guillerault2015,Silurus glanis,Predator,Abundance,density of native fish,number of individuals 100 m-2,Fish,River,Observational,1053,1048,102,9,74.4,57,24,45.8,sd,before-after invasion,before invasion,Table 2b; total,control = No S. glanis; treatment = >10 years since S. glanis arrival,1,1,0,0,0,0,0,0,,none stated,Freshwater Biology,Ecosystem,2015,2.933,2015,France,0,0,0,0,Europe,guillerault,0
101,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,9.5,68,4.6,32.54,62,3.9,SEM,uninvaded,no invader present,Figure 4,control = pre-invasion; data collected from max invader density (August) in Lake Namakan only. ,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
101.2,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,2.94,67,1.51,0.29,67,0.1897,SEM,low invader abundance,low predator density,Figure 5b,Holopedium gibberum,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
101.3,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,0.15,67,0.05,11.8,67,4.12,SEM,low invader abundance,low predator density,Figure 5b,Diaphanosoma birgei,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,
101.4,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,3.45,67,2.08,11.05,67,3.1,SEM,low invader abundance,low predator density,Figure 5b,Daphnia galeata mendotae,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
101.5,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,0.35,67,0.14,3.6,67,1.36,SEM,low invader abundance,low predator density,Figure 5b,Bosmina spp.,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,
101.8,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,0.25,67,0.051,0.45,67,0.048,SEM,low invader abundance,low predator density,Figure 5b,Limnocalanus mucrurus,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
101.9,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,1.73,67,0.17,1.29,67,0.05,SEM,low invader abundance,low predator density,Figure 5b,Epischura lacustris,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
102,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,15.36,67,4.35,11.65,67,1.97,SEM,low invader abundance,low predator density,Figure 5b,Diaptomidae,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
102.1,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,1.14,67,0.31,1.92,67,0.56,SEM,low invader abundance,low predator density,Figure 5b,Acanthocyclops vemalis,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
